mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-218-5p,0.6050400143863557,1.0,1.0,2,13,0.15384615384615385,3979,26380,0.15083396512509478,1.0199702283140333
hsa-miR-219a-1-3p,1.0,1.0,1.0,0,13,0.0,1278,26380,0.04844579226686884,0.0
hsa-miR-219a-2-3p,0.19926012885321778,1.0,1.0,1,13,0.07692307692307693,447,26380,0.016944655041698255,4.539666150404406
hsa-miR-219a-5p,1.0,1.0,1.0,0,13,0.0,487,26380,0.018460955269143292,0.0
hsa-miR-22-3p,0.32261610666835383,1.0,1.0,3,13,0.23076923076923078,4058,26380,0.1538286580742987,1.5001706031770103
hsa-miR-22-5p,0.5743167217022961,1.0,1.0,1,13,0.07692307692307693,1677,26380,0.06357088703563306,1.2100362368698683
hsa-miR-221-3p,0.028106045589951487,0.6173292156364344,1.0,7,13,0.5384615384615384,6779,26380,0.25697498104624716,2.0953850692750233
hsa-miR-221-5p,0.7901719904013922,1.0,1.0,1,13,0.07692307692307693,2985,26380,0.11315390447308567,0.6798093029248808
hsa-miR-222-3p,0.3148033386353931,1.0,1.0,3,13,0.23076923076923078,4004,26380,0.15178165276724792,1.5204026742488281
hsa-miR-222-5p,1.0,1.0,1.0,0,13,0.0,859,26380,0.03256254738438211,0.0
hsa-miR-223-3p,1.0,1.0,1.0,0,13,0.0,1033,26380,0.039158453373768005,0.0
hsa-miR-223-5p,1.0,1.0,1.0,0,13,0.0,145,26380,0.005496588324488249,0.0
hsa-miR-224-3p,1.0,1.0,1.0,0,13,0.0,179,26380,0.006785443517816528,0.0
hsa-miR-224-5p,0.08552372349880072,1.0,1.0,2,13,0.15384615384615385,1004,26380,0.03805913570887036,4.042292368985596
hsa-miR-2276-3p,1.0,1.0,1.0,0,13,0.0,110,26380,0.004169825625473844,0.0
hsa-miR-2276-5p,1.0,1.0,1.0,0,13,0.0,91,26380,0.0034495830174374525,0.0
hsa-miR-2277-3p,1.0,1.0,1.0,0,13,0.0,290,26380,0.010993176648976498,0.0
hsa-miR-2278,1.0,1.0,1.0,0,13,0.0,1004,26380,0.03805913570887036,0.0
hsa-miR-2355-3p,0.1590085689232359,1.0,1.0,1,13,0.07692307692307693,349,26380,0.013229719484457923,5.814414811549482
hsa-miR-2355-5p,1.0,1.0,1.0,0,13,0.0,89,26380,0.003373768006065201,0.0
hsa-miR-2392,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-23a-3p,0.000483136646828205,0.10657728122563496,0.5942580755986921,10,13,0.7692307692307693,7655,26380,0.2901819560272934,2.6508566547756622
hsa-miR-23a-5p,1.0,1.0,1.0,0,13,0.0,352,26380,0.0133434420015163,0.0
hsa-miR-23b-3p,0.06831236461513893,0.9336023164068987,1.0,6,13,0.46153846153846156,6350,26380,0.24071266110689918,1.9173834039975772
hsa-miR-23b-5p,1.0,1.0,1.0,0,13,0.0,592,26380,0.022441243366186504,0.0
hsa-miR-23c,0.37739206135590353,1.0,1.0,1,13,0.07692307692307693,944,26380,0.0357846853677028,2.1496088657105608
hsa-miR-24-1-5p,1.0,1.0,1.0,0,13,0.0,369,26380,0.01398786959818044,0.0
hsa-miR-24-2-5p,1.0,1.0,1.0,0,13,0.0,659,26380,0.024981046247156937,0.0
hsa-miR-24-3p,0.0548838002519169,0.8311087722237603,1.0,6,13,0.46153846153846156,6036,26380,0.22880970432145564,2.017128001223429
hsa-miR-2467-5p,1.0,1.0,1.0,0,13,0.0,332,26380,0.012585291887793783,0.0
hsa-miR-25-3p,0.04964518775940282,0.8192440557021116,1.0,7,13,0.5384615384615384,7563,26380,0.2866944655041698,1.878172072539387
hsa-miR-25-5p,0.624069579438535,1.0,1.0,1,13,0.07692307692307693,1912,26380,0.07247915087187264,1.061313163823624
hsa-miR-2681-5p,1.0,1.0,1.0,0,13,0.0,328,26380,0.012433661865049279,0.0
hsa-miR-2682-3p,1.0,1.0,1.0,0,13,0.0,106,26380,0.004018195602729341,0.0
hsa-miR-2682-5p,1.0,1.0,1.0,0,13,0.0,1203,26380,0.045602729340409404,0.0
hsa-miR-26a-1-3p,1.0,1.0,1.0,0,13,0.0,74,26380,0.002805155420773313,0.0
hsa-miR-26a-2-3p,1.0,1.0,1.0,0,13,0.0,649,26380,0.02460197119029568,0.0
hsa-miR-26a-5p,0.05486041672687084,0.8311087722237603,1.0,8,13,0.6153846153846154,9513,26380,0.36061410159211527,1.7064907131132296
hsa-miR-26b-3p,1.0,1.0,1.0,0,13,0.0,1267,26380,0.048028809704321454,0.0
hsa-miR-26b-5p,0.0027350660869284323,0.16820656434609857,1.0,10,13,0.7692307692307693,9326,26380,0.3535253980288097,2.1758854484567545
hsa-miR-27a-3p,0.0033735932114644794,0.18861452955005953,1.0,10,13,0.7692307692307693,9557,26380,0.3622820318423048,2.123292632866767
hsa-miR-27a-5p,0.45032250358102527,1.0,1.0,2,13,0.15384615384615385,3032,26380,0.11493555724033358,1.3385427237669982
hsa-miR-27b-3p,0.0001653451864417559,0.10657728122563496,0.20337457932335976,10,13,0.7692307692307693,6797,26380,0.25765731614859744,2.9854800194656015
hsa-miR-27b-5p,1.0,1.0,1.0,0,13,0.0,1272,26380,0.04821834723275208,0.0
hsa-miR-28-3p,0.5284917793041161,1.0,1.0,1,13,0.07692307692307693,1482,26380,0.056178923426838515,1.369251531194851
hsa-miR-28-5p,0.17803796829344448,1.0,1.0,4,13,0.3076923076923077,4597,26380,0.17426080363912055,1.7657000384866384
hsa-miR-296-3p,0.4936189469322287,1.0,1.0,1,13,0.07692307692307693,1345,26380,0.05098559514783927,1.5087217615098658
hsa-miR-296-5p,0.03967312589102259,0.738557028700011,1.0,1,13,0.07692307692307693,82,26380,0.0031084154662623198,24.74671669793621
hsa-miR-297,1.0,1.0,1.0,0,13,0.0,401,26380,0.015200909780136468,0.0
hsa-miR-298,1.0,1.0,1.0,0,13,0.0,43,26380,0.0016300227445034117,0.0
hsa-miR-299-3p,1.0,1.0,1.0,0,13,0.0,315,26380,0.011940864291129644,0.0
hsa-miR-299-5p,1.0,1.0,1.0,0,13,0.0,346,26380,0.013115996967399545,0.0
