mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-6505-5p,0.9267869617395992,1.0,1.0,1,1202,0.0008319467554076539,56,26380,0.0021228203184230476,0.3919063465652484
hsa-miR-6507-5p,0.7176388733405126,1.0,1.0,5,1202,0.004159733777038269,131,26380,0.004965883244882487,0.8376624201394622
hsa-miR-651-5p,0.9998792536465136,1.0,1.0,12,1202,0.009983361064891847,623,26380,0.023616376042456408,0.42273044123891956
hsa-miR-6511a-3p,0.22244847445896113,1.0,1.0,9,1202,0.0074875207986688855,146,26380,0.005534495830174375,1.352882182663597
hsa-miR-6511b-3p,0.7649116283142565,1.0,1.0,2,1202,0.0016638935108153079,60,26380,0.002274450341167551,0.7315585135884637
hsa-miR-6511b-5p,1.0,1.0,1.0,0,1202,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-6514-5p,0.2937966237461011,1.0,1.0,8,1202,0.0066555740432612314,138,26380,0.005231235784685368,1.2722756758060239
hsa-miR-6515-5p,0.71628795800163,1.0,1.0,1,1202,0.0008319467554076539,27,26380,0.001023502653525398,0.8128427928760708
hsa-miR-6516-3p,0.997879331627734,1.0,1.0,4,1202,0.0033277870216306157,260,26380,0.009855951478392721,0.3376423908869833
hsa-miR-6516-5p,0.5011525343672502,1.0,1.0,10,1202,0.008319467554076539,212,26380,0.008036391205458682,1.035224311681788
hsa-miR-652-3p,0.999987433042161,1.0,1.0,97,1202,0.08069883527454243,3078,26380,0.11667930250189537,0.691629393938411
hsa-miR-652-5p,0.5521810066608573,1.0,1.0,3,1202,0.0024958402662229617,63,26380,0.0023881728582259287,1.0450835908406624
hsa-miR-653-3p,0.9904555889270165,1.0,1.0,11,1202,0.009151414309484194,437,26380,0.016565579984836997,0.5524354908105104
hsa-miR-653-5p,0.989978296341491,1.0,1.0,5,1202,0.004159733777038269,250,26380,0.009476876421531463,0.4389351081530782
hsa-miR-654-3p,0.6978843131130585,1.0,1.0,38,1202,0.03161397670549085,895,26380,0.03392721758908264,0.9318175480344677
hsa-miR-654-5p,0.8141188199229048,1.0,1.0,5,1202,0.004159733777038269,149,26380,0.005648218347232752,0.7364683022702654
hsa-miR-655-3p,0.7567143342377849,1.0,1.0,2,1202,0.0016638935108153079,59,26380,0.002236542835481425,0.7439578104289462
hsa-miR-655-5p,0.19261352338763416,1.0,1.0,4,1202,0.0033277870216306157,50,26380,0.0018953752843062926,1.755740432612313
hsa-miR-656-3p,0.6885236932267557,1.0,1.0,1,1202,0.0008319467554076539,25,26380,0.0009476876421531463,0.8778702163061565
hsa-miR-656-5p,0.7761211788187642,1.0,1.0,30,1202,0.024958402662229616,742,26380,0.028127369219105382,0.8873351242986756
